source,target,weight
Katie Bell,Leanne,18
Pomona Sprout,Ronald Weasley,18
Peter Pettigrew,Tom Riddle,18
Dudley Dursley,Ronald Weasley,18
Dolores Umbridge,Ginevra Weasley,18
Alastor Moody,Sirius Black,18
Caractacus Burke,Hepzibah Smith,18
Caractacus Burke,Tom Riddle,18
Godric Gryffindor,Griphook,18
Bartemius Crouch Senior,Buckbeak,18
Ludovic Bagman,Viktor Krum,18
Hermione Granger,Pomona Sprout,18
Horace Slughorn,Marcus Belby,18
Molly Weasley,Tom Riddle,18
Herbert Chorley,Prime Minister,18
Aidan Lynch,Viktor Krum,17
Cho Chang,Rowena Ravenclaw,17
Hepzibah Smith,Hokey,17
Cornelius Fudge,Marietta Edgecombe,17
Garrick Ollivander,Luna Lovegood,17
Quirinus Quirrell,Tom Riddle,17
Arthur Weasley,Hermione Granger,17
Hedwig,Sirius Black,17
Arthur Weasley,Remus Lupin,17
Garrick Ollivander,Hermione Granger,17
Blaise Zabini,Draco Malfoy,17
Alastor Moody,Tom Riddle,17
Peter Pettigrew,Severus Snape,17
Rowena Ravenclaw,Salazar Slytherin,17
Bellatrix Lestrange,Draco Malfoy,17
Albus Dumbledore,Peter Pettigrew,17
Albus Dumbledore,George Weasley,17
Albus Dumbledore,Gilderoy Lockhart,17
Neville Longbottom,Tom Riddle,17
Bane,Rubeus Hagrid,17
Neville Longbottom,Rubeus Hagrid,17
Barry Ryan,Harry Potter,17
Horace Slughorn,Minerva McGonagall,17
Dolores Umbridge,Neville Longbottom,17
Argus Filch,Minerva McGonagall,17
James Potter I,Tom Riddle,17
Albus Dumbledore,Mundungus Fletcher,17
Griphook,William Weasley,17
Errol,Hermione Granger,17
Pansy Parkinson,Vincent Crabbe,17
Godric Gryffindor,Luna Lovegood,17
Godric Gryffindor,Lee Jordan,16
Myrtle Warren,Olive Hornby,16
Bellatrix Lestrange,Ronald Weasley,16
Gregory Goyle,Pansy Parkinson,16
Gregory Goyle,Salazar Slytherin,16
Aragog,Hermione Granger,16
Alastor Moody,George Weasley,16
Marcus Flint,Oliver Wood,16
Filius Flitwick,Ginevra Weasley,16
Albus Dumbledore,Mrs Norris,16
Draco Malfoy,Percy Weasley,16
Petunia Dursley,Severus Snape,16
Ginevra Weasley,Sirius Black,16
Harry Potter,Piers Polkiss,16
Neville Longbottom,Trevor,16
Hermione Granger,Igor Karkaroff,16
Harry Potter,Snatchers,16
Hermione Granger,Nicolas Flamel,16
Igor Karkaroff,Rubeus Hagrid,16
Jimmy Peakes,Ritchie Coote,16
Alastor Moody,Cedric Diggory,16
Fred Weasley,Remus Lupin,16
Charles Weasley,Molly Weasley,16
Albus Dumbledore,Arabella Figg,16
Cho Chang,Neville Longbottom,16
Rubeus Hagrid,Vernon Dursley,16
Amycus Carrow,Minerva McGonagall,16
Hermione Granger,Mary Cattermole,16
Helga Hufflepuff,Hermione Granger,16
Muriel,Ronald Weasley,16
Draco Malfoy,Molly Weasley,16
